Songs,Artists,singer,lyrics,music
Tiger Shroff - Unbelievable (Official Music Video),BGBNG Music,Â TigerShroff,DanielGlavin&KevinPabonforPenthouseRecordingStudiosNYC,"Â DanielÂ Glavin,KevinPabon,andAviteshShrivastav"
Tu Hi Haqeeqat (unplugged),Ansh Singh,"JavedAli,IrshanAshraf&Shadab",SayeedQuadri,Pritam
Mareez-E-Ishq Full Video - ZiD,"Mannara, Karanvir",ArijitSingh,ShakeelAzmi,Sharib
Tere Bina [Lofi] [Lyrics] - A.R Rahman,SPACE OF MUSIC,"A.R.Rahman,Chinmaye,MurtuzaKhan&QadirKhan","TereBinaBestVideoGurulAishwaryaRai|AbhishekBachchanChinmayi,TereBinaVideoSong|Tezz|AjayDevgan&KangnaRanautRahatFatehAliKhan,terebina",A.R.Rahman
Bhauji - Full Song - Roohi,"Rajkummar, Janhvi, Varun",DivyaKumar,AmitabhBhattacharya,Sachin
Premaalayam - Randi Babu Randi Video,A.R.Rahman,Haricharan&Dr.Narayan,KandiKondaYadagiri,A.R.Rahman
Aur Tanha - Love Aaj Kal,Kartik Aaryan,K.K.,IrshadKamil,Pritam
Tum Mile - Title Song - Reprise cover by Amrita Nayak,"Javed Ali, Pritam",@JavedAli,Kumaar,@Pritam
Maari - Maari Thara Local Video,Dhanush,"Dhanush,AnirudhRavichander",Dhanush,AnirudhRavichander
Humein Aur Jeene Ki Chahat  Cover Song,Agar Tum Na Hote Song,"LataMangeshkar,KishoreKumar",GulshanBawra,R.D.Burman
Kiston,Jubin Nautiyal,JubinNautiyal,AmitabhBhattacharya,SachinJigar
Buddhu Sa Mann - Kapoor & Sons,Sidharth,ArmaanMalik;AmaalMallik,AbhiruchiChand,AmaalMallik
Puli - Sottavaala Video,"Vijay, Hansika Motwani",ShankarMahadevan&M.M.Manasi,Vairamuthu,DeviSriPrasad
PARINDA â€“ Anushka Sharma,Shah Rukh Khan,PARDEEPSRAN,IRSHADKAMIL,PRITAM
Daayre - Dilwale,Shah Rukh Khan,ArijitSingh,AmitabhBhattacharya,Pritam
Dinesh Lal Nirahua,Lobher Kehtiya Sorry,DineshLalNirahua,R.R.Pankaj,VinayVinayak
Citylights - Muskurane Lyric Video,Arijit Singh,ArijitSingh,RashmiSingh,JeetGannguli
Mere Rashke Qamar,Baadshaho,"Nanda,Kumar,Ganesh,Prasanna",A1MelodyMaster,NusratFatehAliKhan
The Big Bull (Title Track) - Abhishek Bachchan,Ileana D&#39;Cruz,CarryMinati(AjeyNagar),CarryMinati(AjeyNagar),WilyFrenzy
Sangathamizhan - Sandakari Neethan Video,"Vijay Sethupathi, NivethaPethuraj","AnirudhRavichander,JonitaGandhi,MervinSolomon",PrakashFrancis,Vivek
Aastha Gill - Saara India,Priyank Sharma,AasthaGill,Nikk,MixSingh
Arijit Singh : Shayad Lockdown Version - Taposh Halder,Pritam,TaposhHalder,",saraalikhan,arushi,loveaajkal,kartikaryan,emmaheesters,pritamsongs,shayadcover,shayadenglishversion,shayadenglishcover,shayadlockdownversion,shayadcoversong,shayadcoverversion,shayadnewversion,sonymusicindia,arijitsingh,pritam,paarthsingh,latesthits,kartikaryaan,shayadlyrics,arijitsinghsongs2020,saraalikhanandkartik,shayadsongloveaajkal,shayadsongcover,shayadguitarversion,shayadfemalecover,shayadmaleversion,shayad,shayadreprise,shayadmale,shayadfalsettoversion,shayadnewversion,shayadnew,shayadkaraoke,loveaajkalsongs,loveaajkal,loveaajkal,shayad,loveaajkalshayad,shayadsong,cover,loveaajkalcover,shayadcover,english,arijitsingh,shayadarijitsingh,shayadloveaajkal,shayadfullsong,shayadlyrics,shayadcoversong,arijitsinghshayad,shayadfullsonglyrics,shayadsonglyrics,shayad8dsong,shayadfemaleversion,shayadfullsongarijitsingh,loveaajkal2,pritam,harpalgeo,saraalikhan,kartikaryan,shayadarijit,shayadsongloveaajkal,loveaajkalsongs",Pritam.
Tum mile to lamhe tham gaye Song,Tum Mile,NeerajShridhar,Kumaar,Pritam
Kiston,Jubin Nautiyal,KistonWiththesoothingvoiceofJubinNautiyal....Song,KistonWiththesoothingvoiceofJubinNautiyal....Song,KistonWiththesoothingvoiceofJubinNautiyal....Song
Sunny Leone - Lovely Accident - Official Music Video,"Taposh , Krushna",Taposh&HarjotKaur,ShlokeLal,KaushikAkashGuddu(KAG)ForJam8
Aakaasam Nee Haddhu Ra - Kaatuka Kanule Video,"Suriya, Aparna","KCBalasarangan,AlaBBala.",Bhaskarabhatla,GVPrakashKumar
Kiston - Full Song-Roohi,"Rajkummar,Janhvi,Varun","JubinNautiyal,Sachin",AmitabhBhattacharya,Sachin
Janam Janam Full Video - Dilwale,Shah Rukh Khan,ArijitSingh;AntaraMitra,AmitabhBhattacharya,Pritam
Vivegam - Thalai Viduthalai Official Song Video - Ajith Kumar,Anirudh,AnirudhRavichander&HarishSwaminathan,"KabilanVairamuthu,Vivekha,YogiB,Siva",AnirudhRavichander
Tu Har Lamha,Khamoshiya n,ArijitSingh,SayeedQuadri,Bobby
Zara Si Dil Main x Jannatein,Mashup,KK,SayeedQuadri,Pritam
Tu Hi Haqeeqat ft. DJM,Emraan Hashmi Songs,"JavedAli,IrshanAshraf&Shadab",SayeedQuadri,Pritam
Sarkar - Top Tucker Lyric Video,Thalapathy Vijay,"Sathyaprakash,NakulAbhyankar,AravindSrinivas,Deepak,Santhosh",Vivek,ARRahman
O Meri Jaan x Dil Ibaadat - Mashup(Unplugged Cover),Amit Tomer,KK,SayeedQuadri,Pritam
Hasi Ban Gye,Sonia Rav Aulakh,HasiMovie,HasiMovie,HasiMovie
Deadpool - Top Tucker [4K] Video Song,Sarkar,"Sathyaprakash,NakulAbhyankar,AravindSrinivas,Deepak,Santhosh",Vivek,ARRahman
Seeti Maar,"BTS reaction l bollywood new song l Salman Khan, Disha Patani l Radhe",KamaalKhan&IuliaVantur,ShabbirAhmed,RockstarDSP(DeviSriPrasad)
Shayad,Cover by Gj,ArijitSingh,IrshadKamil,Pritam
Neele Neele Ambar Par (Remix),DJ Chirag Dubai,KishoreKumar,"Indivar,ManojKumar",Kalyanji
Kadaikutty Singam - Sandakkaari Tamil Video,"Karthi, Sayyeshaa","D.Imman,VandanaSrinivasan",Yugabharathi,D.Imman
Rab Ka Shukrana - New Version Unplugged Cover,Jannat 2,MohitChauhan,SanjayMasoom,Pritam
Hawayein Cover Song,Suryansh,ArijitSingh,"ArijitSinghsingsthisromanticlovesongstarringShahRukhKhan,AnushkaSharmawithmusicgivenbyPritamwhilelyricswrittenbyIrshadKamil.HawayeinisamagicalsongfromImitiazAli'sJabHarryMetSejalthatmakesusallexperiencelovelikeneverbefore!",PritamChakraborty
Pav Dharia â€“ Mahiya,Manav Sangha,PavDharia,ManavSangha,ManavSangha
NGK - Anbae Peranbae Song Promo,Suriya,"SidSriram,ShreyaGhoshal",UmaDevi,YuvanShankarRaja
Baby Doll Full Video Song Ragini MMS 2,Sunny Leone,MeetBrosAnjjanfeat.KanikaKapoor,Kumaar,MeetBrosAnjjan
Amar Akbar Anthony - Yenno Njaanende Full Song Video,"Prithviraj, Jayasurya, Indrajith, Namitha",BabySreya,BaappuVaavaad,Nadirshah
#65,Zara Si Dil Me De Jagah Tu,KK,SayeedQuadri,Pritam
Kadaikutty Singam - Adivellakkaara Velaayi Video,Tamil Video,AnthonyDaasan,Mahalingam,D.Imman
Udhayam NH4 - Yaaro Ivan Video,"Siddharth, Ashrita",G.V.PrakashKumar&Saindhavi,Na.Muthukumar,G.V.PrakashKumar
Char Baj Gaye Full Video - F.A.L.T.U,Jackky Bhagnani,HardKaur,SameerAnjaan,SachinSanghviandJigarSaraiya
Tere Bina (Dum Dara)Dance Cover,Live Instrumental,"A.R.Rahman,Chinmaye,MurtuzaKhan&QadirKhan",Gulzar,A.R.Rahman
99 Songs - Jwalamukhi Video (Tamil),A.R. Rahman,"PoorviKoutish,SarthakKalyani",Karky,A.R.Rahman
Raat Ke Saaye Tale - Bullets,"Sunny Leone, Karishma",AakankshaSharma,RohitSharma,RaghavSachar
Kabhi Alvida Naa Kehna Whatsapp Status Video ~ Rhythm Bros ðŸ”¥,Shahrukh,SonuNigam&AlkaYagnik,JavedAkhtar,ShankarEhsaanLoy
